epoc (ms),timestamp (-04:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1478042405889,2016-11-01T19.20.05.889,25.94091796875,0.19482421875,-0.0126953125,1.07861328125
1478042405910,2016-11-01T19.20.05.910,25.96142578125,0.1572265625,0.01708984375,0.9853515625
1478042405930,2016-11-01T19.20.05.930,25.98193359375,0.12109375,0.0185546875,0.94384765625
1478042405951,2016-11-01T19.20.05.951,26.00244140625,0.15185546875,0.005859375,0.97265625
1478042405971,2016-11-01T19.20.05.971,26.02294921875,0.17138671875,-0.0087890625,0.99755859375
1478042405990,2016-11-01T19.20.05.990,26.0419921875,0.14404296875,-0.03857421875,1.001953125
1478042406011,2016-11-01T19.20.06.011,26.0625,0.14208984375,-0.04248046875,1.00244140625
1478042406031,2016-11-01T19.20.06.031,26.0830078125,0.1396484375,-0.0390625,0.990234375
1478042406052,2016-11-01T19.20.06.052,26.103515625,0.1513671875,-0.04833984375,0.99462890625
1478042406072,2016-11-01T19.20.06.072,26.1240234375,0.15966796875,-0.033203125,0.97314453125
1478042406093,2016-11-01T19.20.06.093,26.14453125,0.18115234375,-0.02392578125,0.96484375
1478042406112,2016-11-01T19.20.06.112,26.16357421875,0.15185546875,-0.056640625,0.97900390625
1478042406133,2016-11-01T19.20.06.133,26.18408203125,0.13232421875,-0.06103515625,0.97314453125
1478042406153,2016-11-01T19.20.06.153,26.20458984375,0.146484375,-0.048828125,0.95751953125
1478042406174,2016-11-01T19.20.06.174,26.22509765625,0.1513671875,-0.08984375,1.00341796875
1478042406194,2016-11-01T19.20.06.194,26.24560546875,0.16015625,-0.08203125,0.97509765625
1478042406215,2016-11-01T19.20.06.215,26.26611328125,0.1650390625,-0.04150390625,0.9541015625
1478042406234,2016-11-01T19.20.06.234,26.28515625,0.193359375,-0.02783203125,0.962890625
1478042406254,2016-11-01T19.20.06.254,26.3056640625,0.17919921875,-0.0361328125,0.96923828125
1478042406275,2016-11-01T19.20.06.275,26.326171875,0.16259765625,-0.10791015625,0.984375
1478042406295,2016-11-01T19.20.06.295,26.3466796875,0.13330078125,-0.2138671875,0.9921875
1478042406316,2016-11-01T19.20.06.316,26.3671875,0.13134765625,-0.25732421875,1.00830078125
1478042406336,2016-11-01T19.20.06.336,26.3876953125,0.1513671875,-0.17431640625,1.00732421875
1478042406355,2016-11-01T19.20.06.355,26.40673828125,0.14990234375,-0.06591796875,0.9736328125
1478042406376,2016-11-01T19.20.06.376,26.42724609375,-0.02001953125,0.5732421875,1.083984375
1478042406396,2016-11-01T19.20.06.396,26.44775390625,0.017578125,1.17333984375,1.69775390625
1478042406417,2016-11-01T19.20.06.417,26.46826171875,-0.59375,0.802734375,2.2275390625
